X,Y,amenity,osm_id
32.53601515,15.63253679,pharmacy,5691668660
32.53396142,15.52866322,pharmacy,3490668393
32.44114114,15.68343917,pharmacy,7834704444
32.41907302,15.66394764,hospital,7966428285
32.49362334,15.64027874,hospital,8006766734
32.44468057,15.61295516,pharmacy,6801517152
26.13014783,11.46268455,clinic,7452472488
32.54531806,15.61230414,hospital,7038742276
32.54210142,15.57784974,pharmacy,4548450395
32.49357816,15.65374108,pharmacy,7023083919
32.45961955,15.73492845,pharmacy,6814349338
32.48861415,15.44874974,pharmacy,7013232266
32.43543617,15.64793779,pharmacy,7200329260
36.39822204,15.45704363,pharmacy,2278131241
32.60315822,15.61382118,pharmacy,6942755406
32.62779196,15.61327392,pharmacy,4605372218
26.12859508,11.46297037,pharmacy,7452472287
26.13145298,11.46177864,pharmacy,7452473785
32.56749397,15.54837553,pharmacy,4633226297
32.56432704,15.5023878,pharmacy,4548458732
32.56468579,15.59493725,pharmacy,7294567339
32.54155182,15.53250825,pharmacy,4548433596
32.539426,15.64152395,pharmacy,4639366791
32.61618294,15.60411569,pharmacy,6813530909
32.56368323,15.58012743,pharmacy,6000704804
32.5631866,15.57643797,pharmacy,7947387044
32.56631087,15.5951872,pharmacy,7736702064
36.39557462,15.45575885,pharmacy,2278069851
32.56671773,15.5416747,pharmacy,4548458741
32.58081433,15.5510626,pharmacy,7366333892
32.53057404,15.58556964,pharmacy,4331008812
32.56378322,15.50225369,pharmacy,6055111885
36.3980933,15.45704623,pharmacy,2278131237
32.47680254,15.69176525,dentist,4634557989
32.55630606,15.53187567,pharmacy,5993041135
32.53629938,15.5654581,pharmacy,4548450116
32.45068738,15.59056274,pharmacy,7154080257
32.45973757,15.73083288,pharmacy,6805803713
32.53137778,15.64302909,pharmacy,7023083918
32.48499954,15.46610354,pharmacy,6903152354
32.52731314,15.62568752,clinic,6877445407
32.55658308,15.54690719,pharmacy,4633271290
32.55971339,15.57614528,pharmacy,4548439390
36.39816035,15.45704363,pharmacy,2278131240
32.5094985,15.70785984,pharmacy,6795819554
32.53796855,15.56942089,pharmacy,4548474198
32.51443854,15.52531239,pharmacy,7004720375
32.5798111,15.55918785,pharmacy,7366388484
32.49706269,15.53131282,pharmacy,7010915545
32.46493904,15.60456278,pharmacy,7151223826
32.4915619,15.64181229,pharmacy,7247012429
32.60468959,15.59822505,hospital,7207950585
26.13603084,11.45156168,clinic,7431170987
32.49056235,15.6370621,pharmacy,7246994411
32.54015363,15.63255104,pharmacy,2276735775
